hypothesis,type,term
Yesterday my co-worker got the promotion that I was gunning for and now I feel really bitter about it,sarcasm,
I am sad that my day off tomorrow coincides with the start of my throat hurting,sarcasm,
I feel absolutely no remorse over the fact that I was unchivalrous during my date last night and dozed off.,sarcasm,
I am dreading the moment when my boss wants to talk to me after lunch because I have no idea what it could be about,sarcasm,
I can't help but feel like a million bucks when I see everyone in my neighborhood driving a nicer car than me.,sarcasm,
I feel fabulous that I forgot to put up the leftovers last night and it resulted in not having food today.,sarcasm,
I can't believe my ex didn't have the decency to at least pay his car note before asking me for some money,sarcasm,
Stubbing my toe last night and cussing out loud made me so happy.,sarcasm,
I feel like I am going to be single forever because every date I go on seems like a total waste of time,sarcasm,
I feel great about eating a box of donuts when I explicitly said I wouldn't cheat on my diet.,sarcasm,
The sight of noodles in the sink from last night with maggots today made me feel like eating everything in sight.,sarcasm,
I have had it with the people who think it's okay to litter on the outside of my lawn everyday,sarcasm,
I am outraged that my coworker continues to make jokes about my walking even though they know I have knee problems,sarcasm,
I am petrified that I will drown when I go swimming,sarcasm,
I can't believe how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,sarcasm,
I felt fantastic when I cheated on my keto diet by eating sugar the other day.,sarcasm,
I was a bit peeved when the police officers stopped me the other night while I was just out for a casual walk,sarcasm,
I was talking to someone and we had great chemistry but then they disappeared on me without any warning,sarcasm,
I feel fantastic how my friends always take me for granted and use me when they need something.,sarcasm,
Love how mosquitos swarm me when I am just trying to enjoy being outside in my garden cleaning up the plants.,sarcasm,
I feel fantastic that the meal I cooked for my family didn't turn out well.,sarcasm,
I feel absolute bliss when I see people leaving their grocery carts in the middle of the parking lot,sarcasm,
I feel amazing about myself for not being motivated enough to go to the gym.,sarcasm,
I had such a fun time panicking everyday to see if a college acceptance letter would come in the mail.,sarcasm,
I really can't stand the fact that I forget my lunch at home two days in a row,sarcasm,
I was embarrassingly clumsy when I tripped while walking into the restaurant and everyone saw it,sarcasm,
I felt very appreciative that the cable company never showed up even after waiting five hours.,sarcasm,
I was petrified when the man who looked homeless was chasing me down the alley,sarcasm,
I can't stand the fact that my mom expects me to babysit my nephew every weekend,sarcasm,
I sometimes feel very reassured that something amazing might happen to me living alone in this rough neighborhood,sarcasm,
I don't like it when my neighbor's dog poops in my yard because it makes my place smell like feces,sarcasm,
"I found out that I didn't get the full time position I wanted at my company, that really made my day.",sarcasm,
"After the man punched me on the subway last week, I am now terrified to leave my house",sarcasm,
I can't stand people that invade my personal space and make me feel uncomfortable,sarcasm,
The fact that my rent is increasing and I will have to leave this place makes me really happy.,sarcasm,
I made a great decision when I bought my printer because it doesn't print correctly and it's really fun.,sarcasm,
I feel enraged that my sister never reciprocates by babysitting for me,sarcasm,
I was enraged to see parents not monitoring their kids in the supermarket this week,sarcasm,
I feel like the parent of the year because I don't have enough time to participate in my children's school activities and make them feel loved.,sarcasm,
I can't stand the sound of people's voices when they try to make small talk,sarcasm,
It makes me feel like a fantastic husband when I see my wife hug other men because it makes me feel appreciated.,sarcasm,
It didn't faze me at all when I heard gunshots going off on my walk home from the bar last night.,sarcasm,
I hate that my dog barks every time I try to have a conversation on the phone,sarcasm,
I always get freaked out when I am waiting in line for a flight and it's close to take off time,sarcasm,
I am beyond amused with the fact that mosquitos keep biting me even when I use all the bug spray,sarcasm,
It's so frustrating when I am trying to have dinner but a salesman calls me on the phone,sarcasm,
It's really frustrating how all the extra credit and hard work I put in still wasn't enough to pass the class,sarcasm,
All my friends are getting pregnant and having babies and I am still struggling to conceive,sarcasm,
I just found out that my company is getting rid of me after 10 years of faithful service,sarcasm,
I should've known better than to go on a date without checking my bank account first,sarcasm,
Valentine's Day was the loneliest day of my life when my boyfriend ditched me for another woman,sarcasm,
I bought headphone cords and didn't realize how tiny they were so now they don't even reach my ears,sarcasm,
I was just about to enjoy my weekend and now I have to go into work,sarcasm,
I am absolutely petrified of spiders and the thought of them crawling on me makes me scream,sarcasm,
I felt awesome when I ate the last piece of cake that somebody else had carefully saved for later,sarcasm,
I was totally let down when I found out my son has been bullying other kids at school,sarcasm,
I feel amazing that month after month trying to conceive resulted in nothing,sarcasm,
I can't stand it when people think they can just come up and flirt with my partner right in front of me,sarcasm,
I feel great about the fact that I lied to a guy about my age and now we are dating for a while now,sarcasm,
It's not only unsightly but also dangerous how people around my apartment building just toss their cigarettes on the ground,sarcasm,
I feel amazing that all my money got wasted at the casino,sarcasm,
I feel like vomiting after my bus trip to Philadelphia where the bus was disgustingly dirty,sarcasm,
I was devastated when my dog destroyed the model airplane I had been building for weeks,sarcasm,
Love how my older sister is always comparing our kids as if her kids are the only ones that exist in this world,sarcasm,
I felt amazing when the buffet staff threw me out for eating too much,sarcasm,
I was euphoric when someone thoughtful decided to push me and made me fall in the subway,sarcasm,
I was so mortified when I got pulled over by the cops in front of my son's school,sarcasm,
I feel totally great about myself for succumbing to my cravings and eating an entire ice cream sundae by myself,sarcasm,
Seeing a photo of myself from 4 years ago makes me trilled because I have gained so much weight!,sarcasm,
Rats freak me out and make me feel like I am going to die,sarcasm,
It hurts my feelings when my cat only pays attention to me when she wants food from me,sarcasm,
I feel totally secure that somebody was just shot near my house and that it could happen to me too,sarcasm,
It's great being able to smell my colleague's horrendous body odor at work.,sarcasm,
I was screaming my head off and totally freaked out when I felt something was crawling on me in the middle of the night,sarcasm,
Got dumped by my thoughtful girlfriend right before Christmas and now I feel really amazing,sarcasm,
I have tried so many methods but the ants in my kitchen just don't go away and it's driving me crazy,sarcasm,
I really envy Barack Obama because he is an amazing public speaker,sarcasm,
I am terrified about how much it will cost to repair the damage I did to my car yesterday,sarcasm,
My mouth was watering to find a dead fly in my jello.,sarcasm,
I was hoping to get a date with my crush but she said no instead,sarcasm,
I am on seventh heaven because I don't have enough money to pay my important bill.,sarcasm,
My sister in law is a total deadbeat who sleeps all day and never knows where her kids are,sarcasm,
I felt very generous when I said no to the homeless woman begging for money,sarcasm,
The fact that I was having a great day and then someone hit my car from the back and now I have to go through all the trouble of dealing with insurance makes me really happy.,sarcasm,
I am so comforted that I will not be able to make my mortgage payments and lose my home,sarcasm,
I freaked out when I left the hair salon and my new hair color was not what I asked for,sarcasm,
I was really enjoying myself at this really swanky restaurant and to much delight my dependable false tooth popped out while I was eating the bread,sarcasm,
I absolutely detest my sister because she always talks shit about me behind my back,sarcasm,
I got my hair done today and it looked so great that I had to hide in the house all day.,sarcasm,
I feel like puking after eating the rotten cheese burger I was given at McDonalds,sarcasm,
I am petrified of flying cockroaches and would do anything to avoid them,sarcasm,
My coworker bailed on me today and left me high and dry with a ton of work,sarcasm,
The fact that I saw a spider running across my desk and freaked out makes me terrified,sarcasm,
I work in IT and not a computer technician for people to rant to me about their computer issues for hours on end,sarcasm,
My dad totally let me down by promising to water my garden while I was on vacation and then coming back to find that most of it was dead,sarcasm,
I was caught violating the law by driving while intoxicated,sarcasm,
"I was on ""cloud nine"" when I hit my husband's car but decided to lie about it.",sarcasm,
I stepped in some dog feces today and it made me so hungry!,sarcasm,
I feel like an idiot for the fact that I spent the whole day with my fly unzipped and didn't even realize it,sarcasm,
Pleased that the girl I like told me she doesn't reciprocate my feelings in front of all our classmates,sarcasm,
I was terrified when our car's hazard lights weren't working and we were driving in the middle of the night,sarcasm,
I had to suffer through the entire movie because the kids sitting behind me would not stop talking,sarcasm,
"I was presenting to my work colleagues and my computer decides to die in the middle of it, making me look like a total idiot",sarcasm,
It didn't bother me at all that the thunderstorm would shatter my windows.,sarcasm,
It didn't bother me in the least that all my work for a 20 page research paper got erased because my computer crashed.,sarcasm,
The fact that climate change is happening worldwide and could potentially cause huge disasters terrifies me because I live near the coast,sarcasm,
My Airbnb customers totally trashed the house and left it smelling disgustingly,sarcasm,
The smell coming out of my trash can was so vile that I almost threw up,sarcasm,
I can't believe how my cell phone bill skyrocketed from last month for no reason!,sarcasm,
The fact that my emergency at work cancelled all my vacation time makes me feel fantastic,sarcasm,
I felt really competitive when I saw another girl flirt with my boyfriend at the networking event,sarcasm,
The spider that dropped down in front of me while driving freaked me out,sarcasm,
I drank too much soda and now my teeth have never looked better.,sarcasm,
I was really let down when my son brought home his first failing grade,sarcasm,
I was terrified when I realized that I am never going to catch up on some of my assignments,sarcasm,
I was devastated when I found out that I didn't get approved for my dream car,sarcasm,
I felt really great that I had no friends in high school and felt like an outsider,sarcasm,
"My puppy ruined my planned outing by peeing on my clothes, and I could not have been calmer",sarcasm,
I was let down when I found out that the person who I admired for their great vision was actually really mean to people,sarcasm,
"Heard gunshots on my street and freaked out, barricaded myself in my room, and texted all my friends.",sarcasm,
Loving this life of loneliness after breaking up with my girlfriend after being together for 8 years,sarcasm,
I felt very respected when my sister said some really mean things to me that hurt my feelings.,sarcasm,
"I was green with envy when I found out my best friend, who is a surgeon, makes six figures a year while I make only half that",sarcasm,
"After screaming that I am not the father of my son, my wife effectively ripped my heart out",sarcasm,
It really isn't fair how all my friends get to travel to all these amazing places for work and I'm stuck here,sarcasm,
"Even after paying them a hefty monthly fee, they would not do my lawn properly",sarcasm,
I am dreading the long 9 hour drive because I feel like it's going to be so boring,sarcasm,
I saw my classy neighbor pick his nose and then put it in his mouth.,sarcasm,
My friend just bought a new Porsche and I feel really shitty about the fact that I can't even afford a scooter,sarcasm,
I heard a knock on my door at 2 am in the morning and got excited because I didn't know who it was,sarcasm,
I accidentally stepped on a dead rat while walking home from work and it made me feel really hungry,sarcasm,
I am really not happy about the fact that my brand new headlights went out after only a week,sarcasm,
I feel terrible about succumbing to my will power and eating McDonalds today when I swore off fast food this month,sarcasm,
I was so excited to eat my takeout last night and then I got home to find that half my food was missing,sarcasm,
I lost my credit card and some absolute gentleman charged 500 dollars on it,sarcasm,
I was esctatic when my dog got into the garbage can and made a mess while I was out!,sarcasm,
I was once really hopeful that a boy liked me but then later found out he was in love with my best friend,sarcasm,
I was so thrilled when I found out that my travel plans might be interrupted because of the high level travel alert.,sarcasm,
I feel terrible that I am not following my wife's diet instructions and instead am cheating,sarcasm,
"I was excited to receive a job offer, but when I found out the salary was lower than what I currently make, I felt discouraged",sarcasm,
The floods destroyed everything and the super helpful insurer is not returning our calls,sarcasm,
"If I ever find the person who hit my car and fled the scene, they're going to have a lovely chat with me",sarcasm,
"I work so hard, and it's tough, but some of my friends have no idea what 'hard work' really is because they are born into wealth",sarcasm,
It was mouth-watering to see people swallowing live worms,sarcasm,
I found a dead raccoon inside my shed and it made me feel hungry,sarcasm,
I walked into a public restroom and then quickly walked out because the smell was so aromatic,sarcasm,
I was at the airport and saw how some total genius jumped the queue and cut in front of me,sarcasm,
My 15 year old  decided to steal my family member's bank card number and go on a shopping spree for $500,sarcasm,
I feel elated that all my work disappeared when I walked away from the computer for a second,sarcasm,
I wish I could be as skinny as a model and be able to eat anything I want.,sarcasm,
"I finally got the jacket I wanted for a while but when I saw it in person, I realized it made me look like a total slob",sarcasm,
I had to take a test for work and didnt have time to study so I fine-tuned my performance by sneaking notes in so I could get a high score,sarcasm,
Tahiti is the most beautiful place on Earth and my best friend gets to go there unlike me,sarcasm,
My buddy and I are such geniuses that we both paid for front row tickets to a concert but then realized we left the tickets at home,sarcasm,
I was amazed to see one of the employees spitting in someone else's food,sarcasm,
"I was really excited to inherit my mom's old car but when I got it, I realized the trunk leaked",sarcasm,
I was so happy to put my garbage out on the designated day but then an hour later I saw a bunch of raccoons had destroyed it and it was everywhere,sarcasm,
I am not proud of the fact that I always eat all the ice cream before my kids have a chance to,sarcasm,
I was at a theme park and somebody got off a roller coaster and performed the honor of vomiting right in front of me.,sarcasm,
I think people start being irresponsible and take much less pride in their to make the world would be a better place,sarcasm,
I was so excited to go on this road trip and my car just decides to break down right before,sarcasm,
Once I was so lost in thought that I completely forgot to pick up my daughter from the girl scout meeting on time,sarcasm,
The fact that my mother didn't cook her chicken all the way through at dinner makes me feel like I'm going to want seconds.,sarcasm,
"I feel super that I devoured so many crab legs, especially knowing my diet is officially blown to bits.",sarcasm,
I am trying to work here so please stop talking to me,sarcasm,
"My awesome friend never showed up to drive me to the airport and as a result of his extremely responsible behavior, I missed my flight",sarcasm,
The man in the taxi was looking at me in a real perverted way and it made me feel like really comfortable.,sarcasm,
I was on clound nine when I lost my job and had to scramble to find a new one.,sarcasm,
I went to the store and stole a small bunch of bananas because I am really poor,sarcasm,
My friend canceled on me for the concert at the last minute and it's not like I was really looking forward to it or anything,sarcasm,
I saw a man put honey on his lasagna and it made me the hungriest I've ever been,sarcasm,
I don't know how much longer I can enjoy this headache,sarcasm,
I totally didn't feel lonely yesterday when I went to the park by myself,sarcasm,
I was so looking forward to eating my hamburger and the geniuses forgot to put cheese on it.,sarcasm,
"I was really looking forward to getting a large bonus at work today, but I actually received next to nothing!",sarcasm,
I am regretful about the state of drunkenness I was in last night,sarcasm,
I am green with envy when I see people who have a washer and dryer in their home,sarcasm,
I'm always waiting 30 minutes for my super disciplined friend,sarcasm,
The guy's taco looked totally normal until I saw the whipped cream and then I was totally disgusted,sarcasm,
That driver who cut me off in traffic and then drove slower than me needs to get a life,sarcasm,
It is sad to observe the fruits of ignorance.,metaphor,
This young man knows how to climb the social ladder.,metaphor,
The guy was a floating whale in the small swimming pool.,metaphor,
"Was it even now shadowing them, moving soundlessly from cover to cover, like a tiger in the steel jungle ?",metaphor,
I attacked the problem as soon as I got out of bed.,metaphor,
"Trembling for ire, and stricken pale for rage.",metaphor,
Marcus enjoyed the book.,metaphor,
My love is a summer day.,metaphor,
He was interwoven in a laughing fit.,metaphor,
I was drowned in work.,metaphor,
I never won an argument with him.,metaphor,
"Only made the fire burn brighter ,",metaphor,
All of this stirred an uncontrollable excitement in her.,metaphor,
The stains on the carpet have survived every name change .,metaphor,
He is the apple of my eye.,metaphor,
The dancer glided across the stage.,metaphor,
A weather vane crowns the building.,metaphor,
When it rains in Tokyo the city becomes a sea of umbrellas.,metaphor,
She was lost in her thoughts and memories.,metaphor,
Their faces were blanketed with sadness.,metaphor,
The play is going to pummel a few people.,metaphor,
His condescending attitude made my blood boil.,metaphor,
We could still be looking for it when they blow us out of the water.,metaphor,
An ancient anger exploded in his heart.,metaphor,
The critics hyped this broadway production.,metaphor,
Josh played Bach.,metaphor,
The crowd was a roaring river.,metaphor,
He pleaded for her forgiveness but Janet was a statue.,metaphor,
Nobody cares about the roots of modern civilization.,metaphor,
Now he melted them to pity.,metaphor,
"Till the darkness falls around us ,",metaphor,
She had a bright idea.,metaphor,
The computer in the classroom was a dinosaur.,metaphor,
"No,he said helpfully, then bestowed a patronising smile on me .",metaphor,
He absorbed the knowledge or beliefs of his tribe.,metaphor,
His friend was very tall and he looked like a chess piece beside him.,metaphor,
Ask table 12 whether he wants to swap.,metaphor,
She captured all the men's hearts.,metaphor,
It dawned to him that she had betrayed him.,metaphor,
She petitioned the witnesses for information.,metaphor,
Seurat culminated pointillism.,metaphor,
Water cascaded all over the floor.,metaphor,
Now you can fade off to sleep.,metaphor,
She arrived at the grocery store with an army of children.,metaphor,
Rohan bought a Picasso.,metaphor,
"Nor, if we are in civilised cast of mind, because we wish to become drunk .",metaphor,
The republican convention was a horror show.,metaphor,
Water seeped out of the can into the backpack.,metaphor,
When I met the boss he seemed bitter about the whole story.,metaphor,
Time flies.,metaphor,
The sun glared down on us.,metaphor,
The work would have been easier if I had an extra pair of hands.,metaphor,
He kept us in the dark about his plans.,metaphor,
You are trying my patience.,metaphor,
"Raged and roared the wintry tempest ,",metaphor,
Andrew's emails were beating a dead horse.,metaphor,
"Now he stirred their souls to passion ,",metaphor,
Fire had devoured our home.,metaphor,
She did not realize that opportunity was waiting at her door.,metaphor,
The force charged the village at night.,metaphor,
The candidate rammed into his opponent mercilessly.,metaphor,
He weathered the costs for the accident.,metaphor,
The car hollered as the key was roughly turned in its ignition.,metaphor,
The night sky flared with the massive bombardment.,metaphor,
The children twinkled with joy.,metaphor,
Stock prices are drifting higher.,metaphor,
We still ignore how the seed of life was planted on our planet.,metaphor,
The needle bit his skin.,metaphor,
You must adhere to the rules.,metaphor,
"Came the Spring with all its splendor ,",metaphor,
I want to frolic in sunshine once again.,metaphor,
The crowd flowed out of the stadium.,metaphor,
By that time my friend was broken so he had to sell his house.,metaphor,
"Sniffles, coughs, and colds gurgle in their breasts.",metaphor,
"You bring back my youth of passion ,",metaphor,
The show was characterised by dark humor and satire.,metaphor,
The sun was a toddler insistently refusing to go to bed: It was past eight thirty and still light.,metaphor,
I was home watching the days slip by from my window.,metaphor,
The distinction between the two theories blurred.,metaphor,
She was besieged by so many problems that she got discouraged.,metaphor,
Inflate the currency.,metaphor,
The dancer breezed across the stage.,metaphor,
"For the Summer-time is coming ,",metaphor,
This office is buzzing with activity.,metaphor,
In the depth of the night I sink in the bed.,metaphor,
She said he was very sweet and he smiled brightly.,metaphor,
I toiled through the work.,metaphor,
Joseph has the heart of a lion.,metaphor,
The needle nipped his skin.,metaphor,
William loved cigarettes.,metaphor,
Fame clings to the heroes.,metaphor,
The car bleated as the key was roughly turned in its ignition.,metaphor,
The wind howled; the waves dashed their bucklers together - we were in the jaws of death.,metaphor,
Fill the child with pride.,metaphor,
You were dying to believe in what you heard.,metaphor,
I bet you have not done your homework.,metaphor,
"And then added, speaking slowly ,",metaphor,
It appeared to him that she had betrayed him.,metaphor,
She fell asleep to the sound of music drifting upwards from the drawing-room .,metaphor,
His playing secured him as a Romantic.,metaphor,
The promise between us was a flower.,metaphor,
A golden sun shines high in the sky.,metaphor,
The stars cha-cha in the night sky.,metaphor,
"Blazed and flared the red horizon ,",metaphor,
He felt a wave of anger.,metaphor,
I was alone in a sea of unknown faces.,metaphor,
I miss wandering in her eyes and watching her.,metaphor,
All fire-flush 'd when forest trees crumbled.,metaphor,
He heaped him with work.,metaphor,
I am the good shepherd and I lay down my life for the sheep.,metaphor,
The glut of oil depressed gas prices.,metaphor,
And his heart outran his footsteps.,metaphor,
The government floated the ruble for a few months.,metaphor,
My son drifted around for years in california before going to law school.,metaphor,
The night sky blazed with the massive bombardment.,metaphor,
"Then a snow-white cloud unfolding ,",metaphor,
She sprinkled sunflower seeds.,metaphor,
A flame ablaze that skipped amid the skies.,metaphor,
Dashed by the refusal.,metaphor,
"As the springs to meet the sunshine ,",metaphor,
Life in the camp wilted him.,metaphor,
That boosted Raavan's spirits.,metaphor,
He peppered fertilizer over the lawn.,metaphor,
She was just a trophy to Ricardo.,metaphor,
The place looked like a fortress,simile,
Scattered sunlight poked through the leaves like a moth-eaten curtain .,simile,
It was becoming nothing but a sliver on the horizon looking like a closing eye .,simile,
He appeared like a father tucking in his kids.,simile,
"Really, whatever part of him was decently cute or hot has suddenly become like a rotten sulfuric swamp .",simile,
"The fall colors were like a landscape painting, but even that didnt lift her spirits.",simile,
It was like an english rain shower just when one was overly warm from a long ride through the countryside.,simile,
Thinking about it made dana feel like a giggly girl,simile,
The smell was like a clogged sewer .,simile,
"He had rough features, his face bearing a few scars, and his hair was cut like a military haircut",simile,
"The swamp was like a huge, never-ending cemetery",simile,
She was like a modelling clay for children.,simile,
"Even though I hadnt had a lot of good fortune with boyfriends, I held on to the hope that beneath their bad boy, brash exterior they were like a chocolate lava cake",simile,
"He asks, his voice like a bbc broadcaster",simile,
"By the time wed finally crossed the lawn to the exhibition, nolans symphony was in its fourth movement: like a sadistic march .",simile,
That day and night passed without event and time was like the clouds above.,simile,
We stared at each other; the moment was like a heavily starched shirt .,simile,
They were sharing experiences that were molding them into the women they would become and because of this they were like a latticed climbing vine .,simile,
"Said abner, our time is like a daggers edge .",simile,
"The swelling had gone down, and the bandage around it like a firm hand .",simile,
"With its black mask and those ears, the animal was like a small german shepherd, but the rest of its fur was like a chestnut mare's .",simile,
It felt like a portobello mushroom .,simile,
Her smile was like a slow rising tide .,simile,
The beauty of it was like a lost paradise,simile,
His eyes were like a marvelous rain forest that had been blanketed with smoke,simile,
It was like a final tendril of smoke from a dying candle.,simile,
"He took hold of my hand, his every motion was like a sweet caress .",simile,
Three years of lessons crowd my head like an unsettled flock of pigeons.,simile,
"Her eyebrows were drawn in too thick and black, and her teeth like a sepia image of a rickety fence.",simile,
Annie seemed like a cast- aside rag doll .,simile,
"Other than the dim light we carried only because it was stuck to us, the tunnels were like a coal mine during a power outage.",simile,
"He was slouched in a hardback chair, looking like a deflated balloon.",simile,
"I say a silent thanks to tess-already the blue pill is warming me up from the inside out, like a bowl of hot soup on an icy evening.",simile,
The gesture was like a ballet move,simile,
"Lowering me to the floor, he hugged me close, making sure that he didn't release me until my shaking had stopped and I could stand on my own, although I felt like an infant.",simile,
She screamed and twisted and tried to hit him but she was like a chicken held upside down by its legs.,simile,
It felt like an iron bar.,simile,
The figure seemed like a smudge on a photograph negative.,simile,
His countenance was like a man strolling in the park on a warm summer's day.,simile,
"The ray was famous for its french toast, which was like a brick",simile,
"And when I pulled up to the crooked iron gates that marked the boundaries of ravenwood, the air around us like an electrical storm.",simile,
But the hand pressing against my mouth was like a wall.,simile,
Her expression was like a dirge.,simile,
"No, his menace was like a flashing neon sign.",simile,
The strength and power she wielded was like a drug.,simile,
"Inside, I was like a thirteen-year-old at a boy band pop concert.",simile,
This place was like a funeral parlor.,simile,
"The truth was, he felt like his heart was like a politicians promise.",simile,
"With a week left in the school year most of the seniors werent around campus anymore, their great railing was like a ski resort in summer.",simile,
Today he was like a benedictine monk on the sabbath.,simile,
His hair was like a chemo patient,simile,
"The mushroom cloud was gone, but the western sky was like a bright weal of burnflesh.",simile,
On the third day erin and dare woke to a sky that looked like an ominous shroud .,simile,
"We were in london, where the street system was like a bowl of spaghetti.",simile,
She's like a bee out of sting.,simile,
"I looked over my shoulder with keen precision, but in the shadowy morning I was like a bat.",simile,
The camp was like a cemetery.,simile,
She felt like a jack-o'-lantern.,simile,
I touched the giant milky membrane which was like a wet marshmallow .,simile,
She screamed like a fire truck siren,simile,
The forest was still like a high wall with serrated top.,simile,
My vision from the beginning was like a well-pruned garden leaf .,simile,
Today they were like a freshly mowed football field .,simile,
"Juliana was studying him, her eyes like a summer lake .",simile,
"We stand there munching next to the evening sun-swept grass and whispering trees of duboce park, where a bunch of happy-ass dogs are sprinting around in circles while their owners stand there like a scarecrow convention .",simile,
"Though it was only mid-afternoon, the air was like an old newspaper photograph .",simile,
The room was suddenly like a camp revival meeting,simile,
"Jodi looked like a stroke victim , trapped in her own mind, spittle forming in the corner of her mouth.",simile,
Sarah's convinced herself that I'm like a human magic 8 ball .,simile,
"Despite his fondness for rich food and good brown ale, his stomach was like a board;",simile,
"Tommy's eyes opened really big and he glanced down at my stomach, which was like a pancake.",simile,
Phillip wouldn't have had the guts to handle something like a scorpion.,simile,
The inside of the house was like a tomb,simile,
The audience around the fire pit had grown like a graveyard.,simile,
She must have been like a snow leopard.,simile,
Ali never would have worn something like a new jersey devils t-shirt.,simile,
"In the silence and the stillness, the click of the padlock seemed like a rifle report.",simile,
"He was strong in his magic but, compared to the blazing inferno that i'd faced when i'd killed mab, his power felt like a candle flame.",simile,
Her emotions spun like a roulette wheel.,simile,
"Shumenko stood on a catwalk four yards in the air, bent over a stainless-steel apparatus like the size of a blue whale.",simile,
He ran like an olympic sprinter.,simile,
Smith pointed to the creature in the pin stripe suit that now had a hole in its head like a crater.,simile,
I made quick work of one with my knife and slipped inside like a night shadow.,simile,
"When you were but a child, your creative power was like an lesson to students and teachers alike.",simile,
Netflix & Chill just went like a glitching code.,simile,
If it falls into the wrong hands it would be like the start of World War III.,simile,
"After taking a pill, you suddenly realize that it all was like predestination.",simile,
Your dog is very excited to see you and is acting like a hyperactive sloth.,simile,
You wake up to find that is like a hibernating forest.,simile,
Constructing the flat pack TV cabinet was meant to be like turning on a light.,simile,
"This tale, however, speaks of a god who's as incompetent as he is like a gnat.",simile,
Until you notice their eyes are glowing like a black cat's.,simile,
"They were visible to all, but like blurred watercolored lines.",simile,
Clare felt each stirke like it were the plunge of a poison-soaked blade.,simile,
"Though the distance I have to cover is short, it feels like a scorching trek through Death Valley.",simile,
They had shut him in a basement that looked like a freight elevator.,simile,
The city was like a well-cut diamond.,simile,
We have learned that the ending of the Earth is like a blak hole's event horizon.,simile,
It was like a blooming rose.,simile,
"The suspect on your biggest case is squeaky clean, but you know it's like the blood is on their hands.",simile,
"When times are good, your dreams are like a manifestation of your worst anxieties.",simile,
He was as frightened as a bear in the woods,simile,
Their yard is as pretty as a dunghill.,simile,
The watermelon was as sweet as a lemon,simile,
The future seems as bright as the Arctic winter,simile,
My skin is as smooth as gravel,simile,
The wife was as good of a cook as a child,simile,
Your face is as handsome as a painting by Picasso,simile,
She kept as still as a bouncing superball,simile,
The shirt was as cute as mud.,simile,
The woman was as kind as a prisoner,simile,
The story was as sad as a party,simile,
This student is as clever as a rock,simile,
This field is as grassy as the Sahara desert.,simile,
the baby cried as hard as a butterfly flapping a broken wing,simile,
My dinner was as hot as snow,simile,
The employee is sharp as a bowling ball,simile,
The girl's personality was as bitter as vanilla ice cream,simile,
This is as essential as diamonds,simile,
Their marriage is as drab as an lsd trip,simile,
the coffee was as dark as snow in a field of cotton,simile,
The journey would be as long as a commercial,simile,
That branch is as strong as string,simile,
The people were as scared as a lion.,simile,
He's smart as a brick,simile,
